place_id,gdp_total,gdp_per_capita,gdp_growth,pop_density,gini,forest_area,co2_per_capita,internet_user,hdi,median_age,avg_temp
Bosnia and Herzegovina,29613572022.8993,9358.78768951134,2.9715174617652,62.20845703125,,42.7326171875,,,,,
Albania,27046429296.6673,11377.7757431099,4.04592845095348,88.1056569343066,,28.7919708029197,,,,,
Armenia,25955275380.0321,8556.21406956719,5.90000000046228,105.119108748259,,11.6183158247114,,,,,
Zambia,25303185342.2511,1187.10943350064,3.82004825518591,27.8776483407095,,59.523784150984,,,,,
Malta,24971574502.4475,43898.5781808597,6.79990300224401,1727.334375,,1.4375,,,,,
Mongolia,23794540024.5132,6750.6301157724,5.12204539122661,2.23365125312889,,9.09172405879304,,,,,
Burkina Faso,23124729853.0218,981.992649769081,4.79980951667159,84.1585380116959,,22.172514619883,,,,,
Mozambique,22745341305.0622,656.776824637306,2.14854964610538,42.7721457819375,,45.8130349195046,,,,,
Jamaica,22014397089.7689,7753.8006955432,-0.535039063867487,262.214773776547,,56.190757156048,,,,,
Benin,21482643706.4249,1485.38018885134,7.45311566226201,125.142195814118,,26.4734835047889,,,,,
Botswana,19402063512.9066,7695.75319445165,-2.98986879467928,4.37641204806522,,26.2908263194114,,,,,
Moldova,18200340853.6517,7576.19589413326,0.103059364371205,85.437584732506,,11.7370179167932,,,,,
Madagascar,17420501490.1231,544.987501003384,4.19999999988647,53.6196837401169,,21.2962600550017,,,,,
North Macedonia,16951682245.4202,9291.85661671864,2.99373536567732,72.474861221253,,39.7101506740682,,,,,
Laos,16502933121.3379,2123.97909415109,4.13019264436937,33.2105415944541,,71.4558058925477,,,,,
Mauritius,14937861786.17,11990.7798944837,4.92512304864294,625.261392088132,,19.4742113169755,,,,,
Tajikistan,14204575548.5536,1341.20229027672,8.39999980983981,74.8598530153469,36.1,3.07514950644859,,,,,
Equatorial Guinea,12765777677.0622,6745.40013244916,0.907248245986736,65.8662745098039,,86.3935828877005,,,,,
Malawi,11316411329.4619,522.570393642547,1.6734340852915,223.84898175647,,22.4406024607552,,,,,
Kosovo,11197246322.588,7023.06598512878,4.5730971681166,,,,,,,,
Monaco,11125783372.4794,288001.433369041,8.51053758860212,18692.8982725528,,0.0,,,,,
Bermuda,9233600000.0,142855.374713782,5.97253260071749,1198.11111111111,,18.5185185185185,,,,,
New Caledonia,8548919387.12607,29213.1923192946,-13.5,15.8572210065646,,45.8271334792123,,,,,
Montenegro,8270016670.86774,13263.3281277699,3.16409886329913,46.3590334572491,,61.4869888475836,,,,,
Fiji,5968125909.27126,6425.74151715712,3.53085896076352,50.5826491516147,,63.4953475643131,,,,,
Djibouti,4152145939.98458,3552.72335079222,6.98048467276334,49.7387402933563,,0.260724762726488,,,,,
Belize,3203631800.0,7681.24400583113,3.50466435023895,18.0230600613766,,54.5186321788689,,,,,
Burundi,3082433067.32634,219.424830882698,4.11227376264944,533.078271028037,,10.8894080996885,,,,,
Central African Republic,2751494281.06887,516.160999996036,1.49999999847535,8.27060419275097,,35.6560403223217,,,,,
North Korea,,,,219.402076239515,,49.5507017689561,,,,,
Vietnam,,,,,,,,,,,
Kyrgyzstan,,,,,,,,,,,
Palestine,,,,,,,,,,,
Syria,,,,128.490023416653,,2.84310842454937,,,,,
Lebanon,,,,564.368817204301,,14.1867057673509,,,,,
Yemen,,,,74.6080250771824,,1.03983180862549,,,,,
Afghanistan,,,,63.5585008355948,,1.85278199408184,,,,,
Greenland,,,,0.138543062492386,,0.000535997076379583,,,,,
Czech Republic,,,,,,,,,,,
Urguay,,,,,,,,,,,
Cuba,,,-1.06173273220524,106.165038535645,,31.233140655106,,,,,
Ivory Coast,,,,,,,,,,,
Democratic Republic of the Congo,,,,,,,,,,,
Republic of the Congo,,,,,,,,,,,
Antarctica,,,,,,,,,,,
French Southern and Antarctic Lands,,,,,,,,,,,
The Bahamas,,,,,,,,,,,
Bhutan,,,,20.6183796539067,,71.60513896172,,,,,
Falkland Islands,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,
